,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
Straight Outta Compton,Straight-Outta-Compton,1,-0.9991,-0.9993,0.9987,-0.9848,-0.9969,11,13,7,10,4,341,348,253,200,111,"{'neg': 0.169, 'neu': 0.696, 'pos': 0.134, 'compound': -0.9999}","{'neg': 0.171, 'neu': 0.693, 'pos': 0.136, 'compound': -1.0}","{'neg': 0.104, 'neu': 0.747, 'pos': 0.149, 'compound': 0.9998}","{'neg': 0.134, 'neu': 0.742, 'pos': 0.124, 'compound': -0.9989}","{'neg': 0.158, 'neu': 0.766, 'pos': 0.076, 'compound': -0.9998}",1364,1392,759,800,444,0.169,0.171,0.104,0.134,0.158,0.134,0.136,0.149,0.124,0.076,-0.9999,-1.0,0.9998,-0.9989,-0.9998,45,1253,0.035913806863527534
Die Hard,Die-Hard,1,0.9115,0.8916,-0.9956,0.9903,-0.9027,5,11,2,1,2,265,199,117,68,55,"{'neg': 0.123, 'neu': 0.737, 'pos': 0.141, 'compound': 0.9905}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.084, 'neu': 0.842, 'pos': 0.075, 'compound': -0.9694}",1060,0,0,0,110,0.123,0.0,0.0,0.0,0.084,0.141,0.0,0.0,0.0,0.075,0.9905,0.0,0.0,0.0,-0.9694,21,704,0.029829545454545456
30 Minutes or Less,30-Minutes-or-Less,1,-0.9999,-0.9992,-0.9976,-0.9881,0.9895,19,15,13,2,2,697,467,416,126,63,"{'neg': 0.181, 'neu': 0.693, 'pos': 0.126, 'compound': -1.0}","{'neg': 0.155, 'neu': 0.718, 'pos': 0.127, 'compound': -0.9998}","{'neg': 0.167, 'neu': 0.686, 'pos': 0.147, 'compound': -0.9994}","{'neg': 0.159, 'neu': 0.714, 'pos': 0.127, 'compound': -0.9881}","{'neg': 0.087, 'neu': 0.747, 'pos': 0.166, 'compound': 0.9972}",1394,934,832,126,126,0.181,0.155,0.167,0.159,0.087,0.126,0.127,0.147,0.127,0.166,-1.0,-0.9998,-0.9994,-0.9881,0.9972,51,1769,0.02882984737139627
Blade Runner,Blade-Runner,1,0.9973,0.9984,0.8263,0.9968,0.7754,12,7,4,8,6,321,144,100,63,48,"{'neg': 0.125, 'neu': 0.717, 'pos': 0.158, 'compound': 0.9998}","{'neg': 0.098, 'neu': 0.699, 'pos': 0.203, 'compound': 0.9984}","{'neg': 0.117, 'neu': 0.75, 'pos': 0.133, 'compound': 0.9372}","{'neg': 0.048, 'neu': 0.797, 'pos': 0.156, 'compound': 0.9992}","{'neg': 0.076, 'neu': 0.838, 'pos': 0.086, 'compound': 0.9498}",1284,144,200,126,144,0.125,0.098,0.117,0.048,0.076,0.158,0.203,0.133,0.156,0.086,0.9998,0.9984,0.9372,0.9992,0.9498,37,676,0.05473372781065089
We Own the Night,We-Own-the-Night,1,0.9983,0.9968,0.9963,0.9952,0.9637,16,9,7,3,7,460,130,138,110,88,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,926,0.04535637149028078
Kundun,Kundun,0,0.9994,-0.9852,-0.8711,-0.9303,0.9946,11,17,2,5,2,359,84,63,56,42,"{'neg': 0.131, 'neu': 0.678, 'pos': 0.191, 'compound': 0.9994}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.051, 'neu': 0.729, 'pos': 0.22, 'compound': 0.9946}",359,0,0,0,42,0.131,0.0,0.0,0.0,0.051,0.191,0.0,0.0,0.0,0.22,0.9994,0.0,0.0,0.0,0.9946,37,604,0.061258278145695365
How to Lose Friends & Alienate People,How-to-Lose-Friends-&-Alienate-People,0,1.0,0.9993,0.9993,0.985,0.9946,26,5,7,5,5,908,314,196,138,75,"{'neg': 0.071, 'neu': 0.768, 'pos': 0.161, 'compound': 1.0}","{'neg': 0.088, 'neu': 0.762, 'pos': 0.149, 'compound': 0.9993}","{'neg': 0.068, 'neu': 0.77, 'pos': 0.162, 'compound': 0.9998}","{'neg': 0.104, 'neu': 0.76, 'pos': 0.136, 'compound': 0.9952}","{'neg': 0.067, 'neu': 0.794, 'pos': 0.139, 'compound': 0.9986}",908,314,392,276,150,0.071,0.088,0.068,0.104,0.067,0.161,0.149,0.162,0.136,0.139,1.0,0.9993,0.9998,0.9952,0.9986,48,1631,0.029429797670141016
Knocked Up,Knocked-Up,1,0.9999,1.0,0.9967,0.9997,0.9963,22,11,5,9,2,1050,811,332,242,127,"{'neg': 0.118, 'neu': 0.695, 'pos': 0.187, 'compound': 1.0}","{'neg': 0.101, 'neu': 0.671, 'pos': 0.229, 'compound': 1.0}","{'neg': 0.141, 'neu': 0.682, 'pos': 0.177, 'compound': 0.9992}","{'neg': 0.078, 'neu': 0.714, 'pos': 0.208, 'compound': 1.0}","{'neg': 0.074, 'neu': 0.775, 'pos': 0.15, 'compound': 0.9996}",4200,2433,664,726,381,0.118,0.101,0.141,0.078,0.074,0.187,0.229,0.177,0.208,0.15,1.0,1.0,0.9992,1.0,0.9996,49,2562,0.01912568306010929
Anonymous,Anonymous,0,0.997,0.9975,0.9975,0.9881,-0.9889,7,12,10,3,8,188,182,163,98,89,"{'neg': 0.095, 'neu': 0.77, 'pos': 0.134, 'compound': 0.9991}","{'neg': 0.097, 'neu': 0.752, 'pos': 0.151, 'compound': 0.9993}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.104, 'neu': 0.751, 'pos': 0.144, 'compound': 0.9881}","{'neg': 0.144, 'neu': 0.75, 'pos': 0.105, 'compound': -0.997}",376,364,0,98,178,0.095,0.097,0.0,0.104,0.144,0.134,0.151,0.0,0.144,0.105,0.9991,0.9993,0.0,0.9881,-0.997,40,720,0.05555555555555555
Limitless,Limitless,1,0.999,-0.9451,-0.9899,0.9906,0.9885,23,3,4,2,0,607,124,97,93,69,"{'neg': 0.09, 'neu': 0.788, 'pos': 0.122, 'compound': 0.9998}","{'neg': 0.101, 'neu': 0.798, 'pos': 0.1, 'compound': -0.9822}","{'neg': 0.092, 'neu': 0.857, 'pos': 0.051, 'compound': -0.9974}","{'neg': 0.071, 'neu': 0.804, 'pos': 0.125, 'compound': 0.9906}","{'neg': 0.038, 'neu': 0.825, 'pos': 0.137, 'compound': 0.9885}",1214,248,194,93,69,0.09,0.101,0.092,0.071,0.038,0.122,0.1,0.051,0.125,0.137,0.9998,-0.9822,-0.9974,0.9906,0.9885,32,990,0.03232323232323232
Lake Placid,Lake-Placid,1,0.9936,0.9724,-0.9944,0.995,-0.8313,21,6,12,11,2,320,204,197,184,47,"{'neg': 0.104, 'neu': 0.76, 'pos': 0.136, 'compound': 0.9984}","{'neg': 0.113, 'neu': 0.759, 'pos': 0.128, 'compound': 0.9917}","{'neg': 0.15, 'neu': 0.732, 'pos': 0.117, 'compound': -0.9993}","{'neg': 0.095, 'neu': 0.779, 'pos': 0.126, 'compound': 0.9994}","{'neg': 0.091, 'neu': 0.839, 'pos': 0.071, 'compound': -0.9857}",640,408,591,552,188,0.104,0.113,0.15,0.095,0.091,0.136,0.128,0.117,0.126,0.071,0.9984,0.9917,-0.9993,0.9994,-0.9857,52,952,0.0546218487394958
Dark City,Dark-City,1,-0.9629,0.9986,0.9692,-0.9104,-0.9793,6,4,6,0,1,221,229,158,56,49,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.079, 'neu': 0.764, 'pos': 0.157, 'compound': 0.9998}","{'neg': 0.121, 'neu': 0.735, 'pos': 0.144, 'compound': 0.9692}","{'neg': 0.109, 'neu': 0.812, 'pos': 0.079, 'compound': -0.9679}","{'neg': 0.102, 'neu': 0.871, 'pos': 0.027, 'compound': -0.9976}",0,687,158,112,147,0.0,0.079,0.121,0.109,0.102,0.0,0.157,0.144,0.079,0.027,0.0,0.9998,0.9692,-0.9679,-0.9976,17,713,0.023842917251051893
Case 39,Case-39,1,0.9989,0.997,-0.9979,-0.9744,0.5993,16,3,4,1,1,433,207,84,95,64,"{'neg': 0.104, 'neu': 0.759, 'pos': 0.137, 'compound': 0.9999}","{'neg': 0.074, 'neu': 0.791, 'pos': 0.134, 'compound': 0.9992}","{'neg': 0.159, 'neu': 0.767, 'pos': 0.074, 'compound': -0.9998}","{'neg': 0.113, 'neu': 0.798, 'pos': 0.089, 'compound': -0.9744}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1299,414,252,95,0,0.104,0.074,0.159,0.113,0.0,0.137,0.134,0.074,0.089,0.0,0.9999,0.9992,-0.9998,-0.9744,0.0,25,883,0.028312570781426953
Suspect Zero,Suspect-Zero,0,-0.997,0.9871,0.9394,-0.9697,0.9259,10,14,3,5,0,341,341,96,111,30,"{'neg': 0.115, 'neu': 0.815, 'pos': 0.071, 'compound': -0.9994}","{'neg': 0.114, 'neu': 0.763, 'pos': 0.123, 'compound': 0.9871}","{'neg': 0.034, 'neu': 0.899, 'pos': 0.066, 'compound': 0.9822}","{'neg': 0.099, 'neu': 0.82, 'pos': 0.081, 'compound': -0.9697}","{'neg': 0.035, 'neu': 0.838, 'pos': 0.127, 'compound': 0.9259}",682,341,192,111,30,0.115,0.114,0.034,0.099,0.035,0.071,0.123,0.066,0.081,0.127,-0.9994,0.9871,0.9822,-0.9697,0.9259,32,919,0.03482045701849837
Shakespeare in Love,Shakespeare-in-Love,1,0.9999,0.999,0.9976,0.9956,0.9984,21,7,5,4,3,336,170,150,97,55,"{'neg': 0.107, 'neu': 0.682, 'pos': 0.211, 'compound': 1.0}","{'neg': 0.123, 'neu': 0.679, 'pos': 0.198, 'compound': 0.9999}","{'neg': 0.077, 'neu': 0.757, 'pos': 0.166, 'compound': 0.9976}","{'neg': 0.084, 'neu': 0.763, 'pos': 0.153, 'compound': 0.9995}","{'neg': 0.043, 'neu': 0.738, 'pos': 0.219, 'compound': 0.9998}",1344,680,150,291,165,0.107,0.123,0.077,0.084,0.043,0.211,0.198,0.166,0.153,0.219,1.0,0.9999,0.9976,0.9995,0.9998,40,808,0.04950495049504951
Pineapple Express,Pineapple-Express,1,-0.9667,-0.9998,-0.999,-0.9665,-0.9703,21,13,6,0,0,637,641,181,52,49,"{'neg': 0.14, 'neu': 0.715, 'pos': 0.145, 'compound': -0.9976}","{'neg': 0.199, 'neu': 0.652, 'pos': 0.149, 'compound': -1.0}","{'neg': 0.21, 'neu': 0.661, 'pos': 0.13, 'compound': -0.9999}","{'neg': 0.118, 'neu': 0.8, 'pos': 0.082, 'compound': -0.9899}","{'neg': 0.135, 'neu': 0.803, 'pos': 0.062, 'compound': -0.9977}",2548,2564,543,104,147,0.14,0.199,0.21,0.118,0.135,0.145,0.149,0.13,0.082,0.062,-0.9976,-1.0,-0.9999,-0.9899,-0.9977,40,1560,0.02564102564102564
Philadelphia,Philadelphia,1,0.9999,0.9994,0.9962,0.9223,0.9815,30,26,7,4,5,447,415,105,73,58,"{'neg': 0.106, 'neu': 0.69, 'pos': 0.204, 'compound': 1.0}","{'neg': 0.093, 'neu': 0.763, 'pos': 0.143, 'compound': 0.9999}","{'neg': 0.086, 'neu': 0.763, 'pos': 0.151, 'compound': 0.9962}","{'neg': 0.089, 'neu': 0.814, 'pos': 0.096, 'compound': 0.9731}","{'neg': 0.084, 'neu': 0.771, 'pos': 0.144, 'compound': 0.9947}",894,1245,105,146,116,0.106,0.093,0.086,0.089,0.084,0.204,0.143,0.151,0.096,0.144,1.0,0.9999,0.9962,0.9731,0.9947,72,1098,0.06557377049180328
Final Destination 2,Final-Destination-2,1,-0.9997,-0.9991,-0.9992,0.9029,-0.9896,11,7,7,1,2,272,155,161,48,50,"{'neg': 0.203, 'neu': 0.676, 'pos': 0.121, 'compound': -1.0}","{'neg': 0.186, 'neu': 0.741, 'pos': 0.073, 'compound': -0.9999}","{'neg': 0.186, 'neu': 0.711, 'pos': 0.103, 'compound': -0.9992}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",816,465,161,0,0,0.203,0.186,0.186,0.0,0.0,0.121,0.073,0.103,0.0,0.0,-1.0,-0.9999,-0.9992,0.0,0.0,28,686,0.04081632653061224
Legion,Legion,1,-0.9968,0.9918,-0.965,-0.9975,0.9142,8,5,5,6,4,153,141,119,98,118,"{'neg': 0.152, 'neu': 0.73, 'pos': 0.118, 'compound': -0.9995}","{'neg': 0.091, 'neu': 0.766, 'pos': 0.144, 'compound': 0.999}","{'neg': 0.128, 'neu': 0.762, 'pos': 0.111, 'compound': -0.9894}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.078, 'neu': 0.839, 'pos': 0.084, 'compound': 0.9909}",459,423,238,0,472,0.152,0.091,0.128,0.0,0.078,0.118,0.144,0.111,0.0,0.084,-0.9995,0.999,-0.9894,0.0,0.9909,28,629,0.04451510333863275
Blood and Wine,Blood-and-Wine,0,0.999,-0.9248,-0.9967,-0.8788,-0.9489,18,9,7,6,5,561,438,267,206,167,"{'neg': 0.081, 'neu': 0.803, 'pos': 0.116, 'compound': 0.9999}","{'neg': 0.104, 'neu': 0.793, 'pos': 0.103, 'compound': -0.9769}","{'neg': 0.139, 'neu': 0.755, 'pos': 0.106, 'compound': -0.9991}","{'neg': 0.095, 'neu': 0.813, 'pos': 0.092, 'compound': -0.9813}","{'neg': 0.118, 'neu': 0.778, 'pos': 0.104, 'compound': -0.9893}",2244,1752,534,824,501,0.081,0.104,0.139,0.095,0.118,0.116,0.103,0.106,0.092,0.104,0.9999,-0.9769,-0.9991,-0.9813,-0.9893,45,1639,0.027455765710799267
The Help,"Help,-The",1,0.9994,0.9996,0.584,0.9977,0.9945,15,12,14,7,5,381,317,301,250,172,"{'neg': 0.087, 'neu': 0.762, 'pos': 0.151, 'compound': 0.9999}","{'neg': 0.099, 'neu': 0.741, 'pos': 0.159, 'compound': 1.0}","{'neg': 0.127, 'neu': 0.744, 'pos': 0.129, 'compound': 0.852}","{'neg': 0.092, 'neu': 0.782, 'pos': 0.127, 'compound': 0.9998}","{'neg': 0.072, 'neu': 0.811, 'pos': 0.117, 'compound': 0.9987}",1143,951,903,750,344,0.087,0.099,0.127,0.092,0.072,0.151,0.159,0.129,0.127,0.117,0.9999,1.0,0.852,0.9998,0.9987,53,1421,0.03729767769176636
Gran Torino,Gran-Torino,1,-0.9965,-0.933,0.9562,-0.9969,0.9917,38,2,5,5,5,1134,266,182,143,117,"{'neg': 0.127, 'neu': 0.746, 'pos': 0.127, 'compound': -0.9994}","{'neg': 0.139, 'neu': 0.729, 'pos': 0.132, 'compound': -0.9755}","{'neg': 0.089, 'neu': 0.802, 'pos': 0.108, 'compound': 0.9876}","{'neg': 0.155, 'neu': 0.74, 'pos': 0.104, 'compound': -0.9997}","{'neg': 0.094, 'neu': 0.761, 'pos': 0.145, 'compound': 0.9917}",3402,532,364,429,117,0.127,0.139,0.089,0.155,0.094,0.127,0.132,0.108,0.104,0.145,-0.9994,-0.9755,0.9876,-0.9997,0.9917,55,1842,0.02985884907709012
Schindler's List,Schindler's-List,1,0.9996,0.9923,-0.9184,0.9382,0.4204,32,7,1,1,0,520,146,86,36,18,"{'neg': 0.114, 'neu': 0.717, 'pos': 0.169, 'compound': 1.0}","{'neg': 0.087, 'neu': 0.78, 'pos': 0.133, 'compound': 0.9923}","{'neg': 0.106, 'neu': 0.802, 'pos': 0.092, 'compound': -0.9184}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1560,146,86,0,0,0.114,0.087,0.106,0.0,0.0,0.169,0.133,0.092,0.0,0.0,1.0,0.9923,-0.9184,0.0,0.0,41,806,0.05086848635235732
Freddy vs. Jason,Freddy-vs.-Jason,1,-0.959,-0.991,-0.9987,-0.9966,0.8987,6,2,4,2,4,278,160,141,101,83,"{'neg': 0.136, 'neu': 0.727, 'pos': 0.137, 'compound': -0.9965}","{'neg': 0.141, 'neu': 0.74, 'pos': 0.12, 'compound': -0.991}","{'neg': 0.177, 'neu': 0.719, 'pos': 0.104, 'compound': -0.9999}","{'neg': 0.168, 'neu': 0.731, 'pos': 0.1, 'compound': -0.9997}","{'neg': 0.129, 'neu': 0.726, 'pos': 0.145, 'compound': 0.8987}",1112,160,564,404,83,0.136,0.141,0.177,0.168,0.129,0.137,0.12,0.104,0.1,0.145,-0.9965,-0.991,-0.9999,-0.9997,0.8987,18,763,0.023591087811271297
No Country for Old Men,No-Country-for-Old-Men,1,0.9963,0.9764,0.9596,-0.9838,-0.9933,3,4,6,7,0,215,212,213,80,45,"{'neg': 0.05, 'neu': 0.846, 'pos': 0.104, 'compound': 0.9963}","{'neg': 0.12, 'neu': 0.743, 'pos': 0.137, 'compound': 0.9764}","{'neg': 0.044, 'neu': 0.9, 'pos': 0.057, 'compound': 0.9596}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",215,212,213,0,0,0.05,0.12,0.044,0.0,0.0,0.104,0.137,0.057,0.0,0.0,0.9963,0.9764,0.9596,0.0,0.0,20,765,0.026143790849673203
No Strings Attached,No-Strings-Attached,1,0.9999,0.9992,0.982,-0.9681,0.8763,21,12,1,3,2,788,602,61,93,53,"{'neg': 0.093, 'neu': 0.713, 'pos': 0.194, 'compound': 1.0}","{'neg': 0.112, 'neu': 0.733, 'pos': 0.155, 'compound': 0.9999}","{'neg': 0.075, 'neu': 0.783, 'pos': 0.142, 'compound': 0.982}","{'neg': 0.119, 'neu': 0.787, 'pos': 0.094, 'compound': -0.9912}","{'neg': 0.089, 'neu': 0.785, 'pos': 0.126, 'compound': 0.9592}",2364,1806,61,186,106,0.093,0.112,0.075,0.119,0.089,0.194,0.155,0.142,0.094,0.126,1.0,0.9999,0.982,-0.9912,0.9592,39,1597,0.024420788979336257
Tombstone,Tombstone,1,0.9938,0.9983,0.9952,0.8161,0.9015,10,7,1,1,3,537,217,132,77,86,"{'neg': 0.128, 'neu': 0.731, 'pos': 0.141, 'compound': 0.9994}","{'neg': 0.121, 'neu': 0.694, 'pos': 0.185, 'compound': 0.9983}","{'neg': 0.07, 'neu': 0.782, 'pos': 0.148, 'compound': 0.9952}","{'neg': 0.071, 'neu': 0.835, 'pos': 0.094, 'compound': 0.8161}","{'neg': 0.097, 'neu': 0.775, 'pos': 0.128, 'compound': 0.9687}",1611,217,132,77,172,0.128,0.121,0.07,0.071,0.097,0.141,0.185,0.148,0.094,0.128,0.9994,0.9983,0.9952,0.8161,0.9687,22,1049,0.020972354623450904
Scarface,Scarface,1,0.9878,0.8408,0.4361,-0.9785,-0.6189,4,2,0,0,1,270,64,18,19,23,"{'neg': 0.115, 'neu': 0.742, 'pos': 0.142, 'compound': 0.9984}","{'neg': 0.075, 'neu': 0.824, 'pos': 0.101, 'compound': 0.9669}","{'neg': 0.141, 'neu': 0.662, 'pos': 0.197, 'compound': 0.4361}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.098, 'neu': 0.828, 'pos': 0.074, 'compound': -0.6189}",810,192,18,0,23,0.115,0.075,0.141,0.0,0.098,0.142,0.101,0.197,0.0,0.074,0.9984,0.9669,0.4361,0.0,-0.6189,7,394,0.017766497461928935
August: Osage County,August-Osage-County,1,-0.9989,0.9957,-0.9084,0.9968,0.7341,8,23,5,4,4,445,521,138,108,99,"{'neg': 0.149, 'neu': 0.738, 'pos': 0.113, 'compound': -0.9997}","{'neg': 0.116, 'neu': 0.759, 'pos': 0.125, 'compound': 0.9995}","{'neg': 0.089, 'neu': 0.825, 'pos': 0.086, 'compound': -0.9084}","{'neg': 0.065, 'neu': 0.78, 'pos': 0.155, 'compound': 0.9968}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",890,1563,138,108,0,0.149,0.116,0.089,0.065,0.0,0.113,0.125,0.086,0.155,0.0,-0.9997,0.9995,-0.9084,0.9968,0.0,44,1311,0.033562166285278416
Cradle 2 the Grave,Cradle-2-the-Grave,1,-0.9917,-0.984,0.8611,-0.926,-0.9292,5,2,2,1,0,275,101,116,100,65,"{'neg': 0.123, 'neu': 0.771, 'pos': 0.107, 'compound': -0.9995}","{'neg': 0.139, 'neu': 0.778, 'pos': 0.083, 'compound': -0.9956}","{'neg': 0.098, 'neu': 0.784, 'pos': 0.118, 'compound': 0.932}","{'neg': 0.132, 'neu': 0.743, 'pos': 0.125, 'compound': -0.926}","{'neg': 0.109, 'neu': 0.811, 'pos': 0.08, 'compound': -0.9788}",1100,202,232,100,130,0.123,0.139,0.098,0.132,0.109,0.107,0.083,0.118,0.125,0.08,-0.9995,-0.9956,0.932,-0.926,-0.9788,10,657,0.015220700152207
The Shawshank Redemption,"Shawshank-Redemption,-The",1,0.9734,0.9997,0.9972,-0.9976,-0.7089,28,9,9,1,2,546,399,169,78,74,"{'neg': 0.127, 'neu': 0.738, 'pos': 0.135, 'compound': 0.9988}","{'neg': 0.076, 'neu': 0.771, 'pos': 0.153, 'compound': 1.0}","{'neg': 0.088, 'neu': 0.765, 'pos': 0.148, 'compound': 0.9997}","{'neg': 0.209, 'neu': 0.698, 'pos': 0.092, 'compound': -0.9976}","{'neg': 0.122, 'neu': 0.758, 'pos': 0.119, 'compound': -0.8252}",2184,1596,507,78,148,0.127,0.076,0.088,0.209,0.122,0.135,0.153,0.148,0.092,0.119,0.9988,1.0,0.9997,-0.9976,-0.8252,49,1266,0.038704581358609796
The Losers,"Losers,-The",1,-0.9854,-0.9949,-0.998,-0.9958,-0.9867,9,17,4,7,0,281,194,168,120,133,"{'neg': 0.1, 'neu': 0.802, 'pos': 0.098, 'compound': -0.9941}","{'neg': 0.147, 'neu': 0.72, 'pos': 0.132, 'compound': -0.9997}","{'neg': 0.169, 'neu': 0.709, 'pos': 0.122, 'compound': -0.9999}","{'neg': 0.129, 'neu': 0.791, 'pos': 0.081, 'compound': -0.9997}","{'neg': 0.12, 'neu': 0.778, 'pos': 0.103, 'compound': -0.9867}",1124,776,672,480,133,0.1,0.147,0.169,0.129,0.12,0.098,0.132,0.122,0.081,0.103,-0.9941,-0.9997,-0.9999,-0.9997,-0.9867,37,896,0.041294642857142856
The Ruins,"Ruins,-The",0,-0.9999,-0.9989,-0.9991,-0.9899,-0.9637,33,15,12,3,4,1117,475,470,342,84,"{'neg': 0.094, 'neu': 0.849, 'pos': 0.056, 'compound': -1.0}","{'neg': 0.114, 'neu': 0.807, 'pos': 0.079, 'compound': -0.9999}","{'neg': 0.107, 'neu': 0.818, 'pos': 0.075, 'compound': -0.9999}","{'neg': 0.108, 'neu': 0.795, 'pos': 0.097, 'compound': -0.9988}","{'neg': 0.079, 'neu': 0.867, 'pos': 0.055, 'compound': -0.9976}",3351,1425,1410,1026,336,0.094,0.114,0.107,0.108,0.079,0.056,0.079,0.075,0.097,0.055,-1.0,-0.9999,-0.9999,-0.9988,-0.9976,67,2488,0.026929260450160773
The Box,"Box,-The",1,0.9972,0.997,0.9896,0.965,-0.8758,17,9,12,2,2,451,331,161,115,54,"{'neg': 0.079, 'neu': 0.815, 'pos': 0.106, 'compound': 0.9997}","{'neg': 0.056, 'neu': 0.848, 'pos': 0.096, 'compound': 0.9998}","{'neg': 0.044, 'neu': 0.884, 'pos': 0.072, 'compound': 0.9973}","{'neg': 0.019, 'neu': 0.931, 'pos': 0.051, 'compound': 0.995}","{'neg': 0.064, 'neu': 0.884, 'pos': 0.052, 'compound': -0.8758}",1353,1324,322,345,54,0.079,0.056,0.044,0.019,0.064,0.106,0.096,0.072,0.051,0.052,0.9997,0.9998,0.9973,0.995,-0.8758,42,1112,0.03776978417266187
Warrior,Warrior,0,0.9992,-0.9757,-0.9938,0.9935,0.9544,4,5,13,8,6,290,170,167,173,86,"{'neg': 0.077, 'neu': 0.77, 'pos': 0.153, 'compound': 0.9992}","{'neg': 0.134, 'neu': 0.747, 'pos': 0.119, 'compound': -0.9929}","{'neg': 0.118, 'neu': 0.792, 'pos': 0.089, 'compound': -0.9992}","{'neg': 0.094, 'neu': 0.768, 'pos': 0.138, 'compound': 0.9983}","{'neg': 0.104, 'neu': 0.779, 'pos': 0.117, 'compound': 0.9855}",290,340,501,346,172,0.077,0.134,0.118,0.094,0.104,0.153,0.119,0.089,0.138,0.117,0.9992,-0.9929,-0.9992,0.9983,0.9855,36,886,0.040632054176072234
Deception,Deception,0,0.9998,0.9989,-0.9945,0.9849,0.9932,30,9,7,1,3,912,331,83,54,33,"{'neg': 0.094, 'neu': 0.772, 'pos': 0.134, 'compound': 1.0}","{'neg': 0.094, 'neu': 0.766, 'pos': 0.14, 'compound': 0.9997}","{'neg': 0.136, 'neu': 0.8, 'pos': 0.064, 'compound': -0.9945}","{'neg': 0.052, 'neu': 0.837, 'pos': 0.111, 'compound': 0.9962}","{'neg': 0.023, 'neu': 0.844, 'pos': 0.134, 'compound': 0.9982}",2736,662,83,108,66,0.094,0.094,0.136,0.052,0.023,0.134,0.14,0.064,0.111,0.134,1.0,0.9997,-0.9945,0.9962,0.9982,50,1413,0.035385704175513094
